"","quote_text","response_text","relation"
"3413","added C02 will be boon for flora","The temperature increase will hamper growth about as much as the CO2 increase will help it.
 
 Looking at it from an economic perspective climate change on the scale that the greenhouse effect is causing will do nothing good.",0
"4659","This is where the looney left gets lost. Their mantra is atmospheric CO2 levels are escalating and this is unquestionably causing earth's temperature rise. But ask yourself -- if global temperatures are experiencing the biggest sustained drop in decades, while CO2 levels continue to rise -- how can it be true?","Because internal variability from the likes of ENSO, which can cause short term swings of a full degree C, easily swamp the smaller increase we'd expect from CO2 forcing. Easy.",0
"6953","I'd worry more about another ice age than a melting of the current ice box. We're going to cause clouds of pollutants to screen out the sun's warming rays, allowing the earth's temperature to plummet. Glaciers will form all the way down to the Florida panhandle. When we begin to recover and develop new cities, we will be blessed in that there will be no more mosquitoes.","Would these be the same clouds that block out UV rays or do we still have to worry about ozone depletion, too? emoticon_confused 
 Sorry, I let my subscription to the Journal of Chicken Little expire a while back. emoticon_xkill emoticon_xchicken",0
"8436","Sure it will, according to one theory out of 500 that doesn't have evidence...
Could you care to explain why the biggest jumps in temperature correspond to the Industrial Revolution? Why it is that for millions of years that the temperature doesn't fluctuate significently but the years we start adding huge amounts of emissions into the air the temperatures start to change?
So we don't? I thought we had the capacity to destroy it. That seems within the range of control eh?","No. You're missing the point. Al wants you to think all we have to do is stop emitting CO2. He wants you to fear something that he knows how to fix...so you'll give him prizes for being a genius and solving the problem.
Al Gore is a shyster...just like Michael Moore. Documentary, my XXX!
Tell me, what has caused the global warming on Mars?...Jupiter? I understand the temperatures there have been rising more in the past few years than before. Think it could be resulting from their industrial age?
...and he's pretty much a hypocrit about what we should do. Check the stats on his personal home. Check the emissions rating of his antique private jet. He claims to be doing his part by leading a carbon neutral life...which means he merely paid for permission to continue polluting the earth with his inefficient means of private transportation and his energy sucking home.
He claims that sea levels will rise 20 feet or so shortly, yet he bought a million dollar condo near sea level in California.
We should all decrease what we spew into the air (and what we send to landfills). This fact does not diminish the lies told by Al Gore...the ones that got him an Oscar and a Nobel Peace Prize, both of which become more meaningless each year.
Gore, a shyster
http://newsbusters.org/blogs/noel-sh...d-return-oscar
http://www.globalwarminghoax.com/news.php?extend.29
1.	The film claims that melting snows on Mount Kilimanjaro evidence global warming. The GovernmentÂ’s expert was forced to concede that this is not correct.
2.	The film suggests that evidence from ice cores proves that rising CO2 causes temperature increases over 650,000 years. The Court found that the film was misleading: over that period the rises in CO2 lagged behind the temperature rises by 800-2000 years.
3.	The film uses emotive images of Hurricane Katrina and suggests that this has been caused by global warming. The GovernmentÂ’s expert had to accept that it was Â“not possibleÂ” to attribute one-off events to global warming.
4.	The film shows the drying up of Lake Chad and claims that this was caused by global warming. The GovernmentÂ’s expert had to accept that this was not the case.
5.	The film claims that a study showed that polar bears had drowned due to disappearing arctic ice. It turned out that Mr. Gore had misread the study: in fact four polar bears drowned and this was because of a particularly violent storm.
6.	The film threatens that global warming could stop the Gulf Stream throwing Europe into an ice age: the ClaimantÂ’s evidence was that this was a scientific impossibility.
7.	The film blames global warming for species losses including coral reef bleaching. The Government could not find any evidence to support this claim.
8.	The film suggests that the Greenland ice covering could melt causing sea levels to rise dangerously. The evidence is that Greenland will not melt for millennia.
9.	The film suggests that the Antarctic ice covering is melting, the evidence was that it is in fact increasing.
10.	The film suggests that sea levels could rise by 7m causing the displacement of millions of people. In fact the evidence is that sea levels are expected to rise by about 40cm over the next hundred years and that there is no such threat of massive migration.
11.	The film claims that rising sea levels has caused the evacuation of certain Pacific islands to New Zealand. The Government are unable to substantiate this and the Court observed that this appears to be a false claim.
Stay tuned as the UK High Court's final ruling may impose additional restrictions on teaching An Inconvenient Truth in classes. They may also point out additional inaccuracies as we all know they only scratched the surface above.
http://www.globalwarminghoax.com/news.php?extend.24
http://www.prisonplanet.com/articles...polarbears.htm
http://www.capmag.com/article.asp?ID=3400
http://www.heartland.org/Article.cfm?artId=11548
http://www.freerepublic.com/focus/f-news/1350746/posts",0
"3628","I would like to see more conclusive data on the subject but most importantly a REAL plausible solution. I'm not an expert but it does appear most scientists feel global warming is partly man-made. I do get a little sketched out when I see scientists are trying to restrict research for those that go against the theory. They may have strong arguments but that kinda BS really blows your credibility.","I see, when you say ""I'm not an expert"" do you mean you aren't a climate scientist or do you mean you don't have the scientific knowledge to discuss this?",0
"6035","Al Gore is a shyster riding on the fears of dupes who think mankind controls the earth.","So we don't? I thought we had the capacity to destroy it. That seems within the range of control eh?",0
"737","what other forest? By your logic there would only be one left in the entire world, and it would be what, the size on central park?","Source? Forest acreage?",0
"4803","This article, from the Daily Telegraph, states that data from the ""Climate Research Unit at the University of East Anglia"" shows ""that for the years 1998-2005 global average temperature did not increase (there was actually a slight decrease, though not at a rate that differs significantly from zero).""
 
 Does anyone know anything about this university (i.e. is it reputable in this area of science)? Also, any thoughts on the author and his interpretation of this data (if the data is reliable that is).","My thought is, don't treat editorials as if they were sources of facts. I went to the CRU website, and their home page has a graphic showing definite warming over the time period in question.
 
 http://www.cru.uea.ac.uk/
 
 Bob Carter, the guy who wrote your editorial, is either a fool or not above lying to make a point. The world is clearly getting hotter, all the data supports this. It's not like we're talking rocket science here. All this takes is reading a thermometer and writing down the results, which is a task that people have mastered for quite some time now. Anyone who tells you that we aren't heating up is either in denial, or in the pay of someone who doesn't want to be told to stop polluting.",0
"4722","Did you know that in Siberia they are HAPPY that it's getting warmer up there?","And down south wear the majority of people live, they aren't. The people in Siberia won't be too happy when their food source dries up.",0
"530","6. Global warming is a problem for everyone and will make us all hot and miserable! 
 
 Did you know that in Siberia they are HAPPY that it's getting warmer up there?","Let's talk about the people in Sri Lanka, which has lost hundreds of acres in the recent past due to climate changes. Who, with just a few more degrees on average, will be completely submerged soon.
 I have a feeling if we just go democratic on this, there's a few more votes in the tropical region than in the arctic.",0
"4160","When we buy something at the store, like a box of cereal, the factory that it was made in emits smoke into the air as well. There are people carelessly animals throughout the world, which causes them to become endangered, or worse, extinct. If all of this continues, our world could end, without notice.","Cereal factories aren't that big of polluters. The largest polluters are energy plants with a few exceptions like some of Alcoa's smelters which burns one of the dirtiest types of coal in the almunimum production process. And the world will go from bad to worse, from worse to horrible and from horrible to castastrphoic. Not suddenly. That's day after tomorrow fantasy.",0
